epoch,avg_loss,delta,learning_rate
1,0.021873550908640026,0.0,0.001
2,0.0056870959582738575,0.01618645495036617,0.001
3,0.002474680985324085,0.0032124149729497726,0.001
4,0.0017949343658983708,0.000679746619425714,0.001
5,0.0014122188847977668,0.00038271548110060407,0.001
6,0.0011859687976539135,0.00022625008714385322,0.001
7,0.0010463271697517484,0.00013964162790216519,0.001
8,0.000954830352566205,9.149681718554335e-05,0.001
9,0.0008880016423063353,6.68287102598697e-05,0.001
10,0.0008377349353395402,5.026670696679509e-05,0.001
11,0.0007938330993056298,4.390183603391045e-05,0.001
12,0.0007520844868849963,4.17486124206335e-05,0.001
13,0.0007184798829257488,3.3604603959247427e-05,0.001
14,0.0006909095507580787,2.7570332167670196e-05,0.001
15,0.0006650696799624711,2.5839870795607545e-05,0.001
16,0.0006453290989156812,1.9740581046789863e-05,0.001
17,0.0006234477797988803,2.188131911680098e-05,0.001
18,0.0006151041481643916,8.343631634488702e-06,0.001
19,0.0006145655148429796,5.386333214119294e-07,0.001
20,0.0005861904413904995,2.837507345248018e-05,0.001
