epoch,avg_loss,delta,learning_rate
1,0.01430469136685133,0.0,0.0001
2,0.004134334868285805,0.010170356498565524,0.0001
3,0.002109249640488997,0.002025085227796808,0.0001
4,0.0016471726645249873,0.00046207697596400976,0.0001
5,0.0013137439265847207,0.0003334287379402666,0.0001
6,0.0010918383399257437,0.00022190558665897693,0.0001
7,0.0009181007917504758,0.00017373754817526796,0.0001
8,0.0007611496810568496,0.00015695111069362615,0.0001
9,0.000650456891162321,0.0001106927898945286,0.0001
10,0.000576796688255854,7.366020290646704e-05,0.0001
11,0.0005265954474452883,5.020124081056565e-05,0.0001
12,0.0004946164786815644,3.197896876372397e-05,0.0001
13,0.0004663683968828991,2.8248081798665258e-05,0.0001
14,0.0004441121345735155,2.225626230938359e-05,0.0001
15,0.0004257519351085648,1.836019946495072e-05,0.0001
16,0.00041301850869785995,1.273342641070483e-05,0.0001
17,0.0003980577166657895,1.4960792032070469e-05,0.0001
18,0.0003876260976539925,1.043161901179699e-05,0.0001
19,0.00038087383145466445,6.752266199328049e-06,0.0001
20,0.000368079321924597,1.2794509530067444e-05,0.0001
