epoch,avg_loss,delta,learning_rate
1,0.03126442669890821,0.0,0.0001
2,0.009076258586719631,0.022188168112188576,0.0001
3,0.006383663835003972,0.0026925947517156597,0.0001
4,0.00351932467892766,0.0028643391560763116,0.0001
5,0.002573263691738248,0.0009460609871894121,0.0001
6,0.002198816719464958,0.00037444697227329016,0.0001
7,0.0019639603095129134,0.0002348564099520444,0.0001
8,0.0017554095014929772,0.00020855080801993617,0.0001
9,0.0015788755379617214,0.00017653396353125585,0.0001
10,0.0014288093778304755,0.00015006616013124585,0.0001
11,0.0013061242760159075,0.00012268510181456804,0.0001
