epoch,avg_loss,delta,learning_rate
1,0.012528887810185551,0.0,0.0001
2,0.00677277515642345,0.005756112653762102,0.0001
3,0.0035656282911077143,0.0032071468653157354,0.0001
4,0.00243399643804878,0.0011316318530589344,0.0001
5,0.002031973493285477,0.0004020229447633029,0.0001
6,0.0017984784441068768,0.00023349504917860022,0.0001
7,0.0016046297852881253,0.00019384865881875144,0.0001
8,0.0014321517664939165,0.0001724780187942088,0.0001
9,0.001281173969618976,0.00015097779687494044,0.0001
10,0.001160083175636828,0.00012109079398214817,0.0001
11,0.001063204207457602,9.687896817922592e-05,0.0001
12,0.0009781932400073855,8.501096745021646e-05,0.0001
13,0.0009008063352666795,7.7386904740706e-05,0.0001
14,0.0008157112752087414,8.50950600579381e-05,0.0001
15,0.0007325518585275858,8.315941668115558e-05,0.0001
16,0.0006579830020200461,7.45688565075397e-05,0.0001
17,0.000597329338779673,6.0653663240373135e-05,0.0001
18,0.0005502975051058457,4.703183367382735e-05,0.0001
19,0.0005145339615410194,3.576354356482625e-05,0.0001
20,0.00048417097714263945,3.0362984398379954e-05,0.0001
21,0.0004610158794093877,2.315509773325174e-05,0.0001
22,0.00044069461000617594,2.0321269403211772e-05,0.0001
23,0.00042446695151738824,1.62276584887877e-05,0.0001
24,0.0004099794809008017,1.4487470616586539e-05,0.0001
25,0.00039789381553418935,1.2085665366612342e-05,0.0001
26,0.00038575693324673923,1.2136882287450124e-05,0.0001
27,0.0003770655457628891,8.691387483850143e-06,0.0001
