epoch,avg_loss,delta,learning_rate
1,0.016620026738382875,0.0,0.0001
2,0.00861729816533625,0.008002728573046625,0.0001
3,0.006643835292197764,0.0019734628731384865,0.0001
4,0.0029897910659201442,0.00365404422627762,0.0001
5,0.0021807360171806067,0.0008090550487395375,0.0001
6,0.0018342239956837148,0.00034651202149689193,0.0001
7,0.0015325333457440137,0.0003016906499397011,0.0001
8,0.0012535642075818033,0.0002789691381622104,0.0001
9,0.001060077390866354,0.00019348681671544927,0.0001
10,0.000922101567266509,0.00013797582359984504,0.0001
11,0.0008360308653209359,8.607070194557311e-05,0.0001
12,0.000777460733661428,5.8570131659507817e-05,0.0001
13,0.0007296641386346891,4.779659502673894e-05,0.0001
14,0.0006942852196516469,3.53789189830422e-05,0.0001
15,0.0006591579382074997,3.512728144414721e-05,0.0001
16,0.0006331627650070004,2.599517320049931e-05,0.0001
17,0.0006117075492511504,2.145521575585001e-05,0.0001
18,0.0005954774038400501,1.623014541110026e-05,0.0001
19,0.0005759979903814383,1.9479413458611838e-05,0.0001
20,0.0005612078748526983,1.4790115528739989e-05,0.0001
