epoch,avg_loss,delta,learning_rate
1,0.02822176837362349,0.0,0.001
2,0.00403970701736398,0.024182061356259513,0.001
3,0.0012521877739345654,0.0027875192434294147,0.001
4,0.0008027060655876994,0.00044948170834686603,0.001
5,0.0005038845010858495,0.0002988215645018499,0.001
6,0.0003825366598903202,0.0001213478411955293,0.001
7,0.0002964996507216711,8.603700916864909e-05,0.001
8,0.0002439946805679938,5.2504970153677294e-05,0.001
9,0.00023928557347971947,4.7091070882743225e-06,0.001
10,0.00018014282977674156,5.91427437029779e-05,0.001
11,0.0002019728875893634,-2.1830057812621822e-05,0.001
12,0.00015215076819004026,4.982211939932312e-05,0.001
13,0.00023771138075971975,-8.556061256967948e-05,0.001
14,0.00015049312060000375,8.7218260159716e-05,0.001
15,0.00012922732021252158,2.126580038748217e-05,0.001
16,0.0001233345963555621,5.89272385695947e-06,0.001
17,0.00011652317516563926,6.81142118992285e-06,0.001
18,0.00011465631960163591,1.86685556400335e-06,0.001
19,9.52130929363193e-05,1.9443226665316613e-05,0.001
20,0.00012904485756735085,-3.3831764631031555e-05,0.001
