epoch,avg_loss,delta,learning_rate
1,0.03039149409160018,0.0,0.0001
2,0.008649977226741611,0.02174151686485857,0.0001
3,0.006130360905081034,0.002519616321660577,0.0001
4,0.0033630993217229842,0.00276726158335805,0.0001
5,0.002486913243774325,0.0008761860779486594,0.0001
6,0.002092946815537289,0.00039396642823703604,0.0001
7,0.0018111821555066854,0.0002817646600306034,0.0001
8,0.0015391711436677723,0.00027201101183891305,0.0001
9,0.0012671014992520213,0.000272069644415751,0.0001
10,0.0010880898189498112,0.00017901168030221015,0.0001
11,0.000969711469952017,0.00011837834899779414,0.0001
12,0.0008896391896996647,8.007228025235229e-05,0.0001
13,0.0008316150197060779,5.802416999358686e-05,0.0001
14,0.0007859424804337323,4.56725392723456e-05,0.0001
15,0.0007495706959161907,3.637178451754153e-05,0.0001
16,0.0007184736547060311,3.109704121015964e-05,0.0001
17,0.0006899767060531304,2.8496948652900734e-05,0.0001
18,0.0006615975231397897,2.837918291334065e-05,0.0001
19,0.0006441305129555985,1.7467010184191232e-05,0.0001
20,0.0006199994764756412,2.4131036479957337e-05,0.0001
