epoch,avg_loss,delta,learning_rate
1,0.8695731490850449,0.0,0.0001
2,0.6484150290489197,0.22115812003612523,0.0001
3,0.25516287088394163,0.39325215816497805,0.0001
4,0.07652226276695728,0.17864060811698435,0.0001
5,0.02402742123231292,0.052494841534644364,0.0001
6,0.013943342166021467,0.010084079066291452,0.0001
7,0.011259215418249369,0.002684126747772098,0.0001
8,0.00921174706891179,0.002047468349337578,0.0001
9,0.009493394591845571,-0.0002816475229337808,0.0001
10,0.009081592829898,0.00041180176194757084,0.0001
11,0.0072890641167759895,0.001792528713122011,0.0001
12,0.005383932241238653,0.0019051318755373362,0.0001
13,0.004196551919449121,0.0011873803217895326,0.0001
14,0.004139575292356312,5.6976627092808485e-05,0.0001
15,0.014054607693105936,-0.009915032400749623,0.0001
