epoch,avg_loss,delta,learning_rate
1,0.007967934873886407,0.0,0.0001
2,0.003368877898901701,0.0045990569749847065,0.0001
3,0.0012747866334393621,0.002094091265462339,0.0001
4,0.0008194595648092218,0.00045532706863014036,0.0001
5,0.0005666765558999032,0.0002527830089093186,0.0001
6,0.00039795228440198116,0.000168724271497922,0.0001
7,0.00032613110524835063,7.182117915363053e-05,0.0001
8,0.0003156554950692225,1.0475610179128114e-05,0.0001
9,0.00027479481577756814,4.086067929165438e-05,0.0001
10,0.00023542391354567372,3.937090223189442e-05,0.0001
11,0.0002205436787335202,1.488023481215352e-05,0.0001
12,0.0002201022634835681,4.414152499521043e-07,0.0001
13,0.00019011257390957325,2.9989689573994843e-05,0.0001
14,0.00018153299824916758,8.57957566040567e-06,0.0001
15,0.00016685604969097768,1.46769485581899e-05,0.0001
16,0.00015227832554955966,1.4577724141418019e-05,0.0001
17,0.00015368297754321248,-1.404651993652822e-06,0.0001
18,0.00013616666292364242,1.751631461957006e-05,0.0001
19,0.00014566113823093473,-9.494475307292305e-06,0.0001
20,0.00014068362324906047,4.977514981874259e-06,0.0001
